speciesID,parentID,t1,p1,seedPerTick,t2,p2,adultPerTick,ns,CNDD,HNDD
1,-1,9,0.5867166861282512,0.9424749732012216,56,0.6258164703733313,0.9916653182198691,5,0.15,0.006
2,-1,9,0.8411526511111659,0.9809632950128644,56,0.7452106616043784,0.9947621880445137,5,0.15,0.006
3,-1,9,0.34864878799792365,0.8895169743218007,56,0.373415598257093,0.9825633925626693,5,0.15,0.006
4,-1,9,0.4759709929562575,0.9208218363551576,56,0.3279887561116995,0.9802901169571513,5,0.15,0.006
5,-1,9,0.7889402192457023,0.9740033602300632,56,0.5431523637008491,0.9891598008678091,5,0.15,0.006
6,-1,9,0.7464120647706394,0.9680248735870376,56,0.8129269802944128,0.9963083668122026,5,0.15,0.006
7,-1,9,0.5679755831338059,0.9390815243198594,56,0.6085463034094474,0.9911698901069333,5,0.15,0.006
8,-1,9,0.830090146417176,0.9795213751466807,56,0.3778365014263115,0.9827699203556839,5,0.15,0.006
9,-1,9,0.6862769713464588,0.9590323777148843,56,0.6040051848972278,0.9910373260756016,5,0.15,0.006
10,-1,9,0.6238004688234511,0.9489149734199692,56,0.42023465554577033,0.984638108850761,5,0.15,0.006
11,-1,9,0.6908509965029171,0.9597404977607226,56,0.7947545329471728,0.995906224303768,5,0.15,0.006
12,-1,9,0.7093356590071527,0.9625603695576946,56,0.34046153523886125,0.9809436775376463,5,0.15,0.006
13,-1,9,0.6296363155681619,0.9498972732223523,56,0.7929728025238533,0.9958663109732442,5,0.15,0.006
14,-1,9,0.7243188058547843,0.9647985456341259,56,0.7550913465587197,0.9949961940236519,5,0.15,0.006
15,-1,9,0.7644009798545816,0.9705897325453182,56,0.6402691491183264,0.992069707623255,5,0.15,0.006
16,-1,9,0.4020259457709105,0.9037082174759361,56,0.8979592732005831,0.9980798714440855,5,0.15,0.006
17,-1,9,0.6224397251542364,0.9486847567120187,56,0.3259951585220229,0.9801833972240188,5,0.15,0.006
18,-1,9,0.3507294976418963,0.8901052568014798,56,0.6325942068513196,0.9918560905341288,5,0.15,0.006
19,-1,9,0.48188263276215804,0.9220856274271505,56,0.8192964269858348,0.9964472310197335,5,0.15,0.006
20,-1,9,0.7342886899628034,0.966265148192479,56,0.657637107922385,0.992543970709953,5,0.15,0.006
21,-1,9,0.6806393775301292,0.9581538083452817,56,0.39934776839004177,0.9837421334796617,5,0.15,0.006
22,-1,9,0.6532889594168737,0.9537974269764149,56,0.6664290675304836,0.9927793810842092,5,0.15,0.006
23,-1,9,0.596496771428123,0.9442077621788858,56,0.8099895694571663,0.9962439660974319,5,0.15,0.006
24,-1,9,0.7792362789449983,0.9726648919397106,56,0.8002286096156164,0.9960283040213155,5,0.15,0.006
25,-1,9,0.6132505164750163,0.947118268588156,56,0.8478356397250807,0.9970566885761355,5,0.15,0.006
26,-1,9,0.5453740204892689,0.9348540790467714,56,0.8091081980085989,0.9962245978913372,5,0.15,0.006
27,-1,9,0.6378861035748236,0.9512721744920084,56,0.688704507847206,0.9933624307178168,5,0.15,0.006
28,-1,9,0.6871414539521086,0.9591665320084807,56,0.6594755500938483,0.9925934507316356,5,0.15,0.006
29,-1,9,0.5504140120925592,0.935810082808558,56,0.5048979084149381,0.9878706072452873,5,0.15,0.006
30,-1,9,0.6947144569869298,0.9603353737231448,56,0.7005380330746946,0.9936646779503145,5,0.15,0.006
31,-1,9,0.652469378760818,0.9536643992116318,56,0.4217566659299111,0.9847016775172561,5,0.15,0.006
32,-1,9,0.7018131653249277,0.9614207723460545,56,0.5609105793946663,0.9897282297441639,5,0.15,0.006
33,-1,9,0.4178131127122775,0.9075841362464205,56,0.447610020586042,0.9857483705766593,5,0.15,0.006
34,-1,9,0.5491658255484607,0.9355740494717328,56,0.504405003030799,0.9878533774421377,5,0.15,0.006
35,-1,9,0.7732909087598938,0.9718375067223943,56,0.7436316381796456,0.9947245095927407,5,0.15,0.006
36,-1,9,0.3214072776296326,0.8815123716347079,56,0.780878017149583,0.9955930191972422,5,0.15,0.006
37,-1,9,0.5446530628703327,0.934716683736929,56,0.7114064361258182,0.9939378889724401,5,0.15,0.006
38,-1,9,0.617249710943417,0.9478025596935816,56,0.7590161884109258,0.995088313170126,5,0.15,0.006
39,-1,9,0.7609378304597118,0.9701001574949474,56,0.4234239155853406,0.9847710542166406,5,0.15,0.006
40,-1,9,0.7460911177892854,0.9679786161397699,56,0.7126188342635025,0.9939681118273982,5,0.15,0.006
41,-1,9,0.7177378223151688,0.9638205983809632,56,0.34682298852505944,0.9812680096926434,5,0.15,0.006
42,-1,9,0.7565726164679029,0.9694802308446008,56,0.6242111993659023,0.9916198376279077,5,0.15,0.006
43,-1,9,0.5419169497635739,0.934193778220213,56,0.5944713685153876,0.9907558012549734,5,0.15,0.006
44,-1,9,0.5446670271282245,0.9347193464872567,56,0.8464318371855949,0.9970271846682758,5,0.15,0.006
45,-1,9,0.6911726699497015,0.9597901401046508,56,0.6659087762772259,0.9927655350987197,5,0.15,0.006
46,-1,9,0.6677997644351781,0.9561284726353887,56,0.7171445487286662,0.99408048519581,5,0.15,0.006
47,-1,9,0.6738565469960551,0.9570881500071214,56,0.5075681765426009,0.9879636618526368,5,0.15,0.006
48,-1,9,0.6305480902035567,0.9500500131295614,56,0.5843950517693329,0.9904533954695757,5,0.15,0.006
49,-1,9,0.7325143877354557,0.9660054425239918,56,0.7184817684602797,0.994113555046301,5,0.15,0.006
50,-1,9,0.45476474227126024,0.9161705124823057,56,0.7870700238482506,0.9957334480819728,5,0.15,0.006
51,-1,9,0.5170465376093386,0.9293300050994419,56,0.613120968817709,0.9913024546977462,5,0.15,0.006
52,-1,9,0.5897714735961518,0.9430189458079182,56,0.3433188611648756,0.9810900853032298,5,0.15,0.006
